"stick to your guns";"niezachwianie obstawać przy swoim"
"be in for the high jump";"dostać za swoje"
"have a lot going for you";"mieć komuś wiele do zaoferowania"
"dig your own grave";"kopać sobie grób"
"get sth off the ground";"uruchomić coś (e.g. a company)"
"give the game away";"wszystko zdradzić i zepsuć zabawę"
"for good";"na dobre"
"fit like a glove";"leżeć jak ulał"
"ill at ease";"czuć się nieswojo"
"keep up with the Joneses";"żyć nie gorzej niż inni"
"stew in your own juice";"cierpieć na konsekwencje własnych czynów"
"move the goalposts";"zmieniać reguły gry"
"the ins and outs";"tajemnice/arkana/sposoby"
"before one could say Jack Robinson";"nim się człowiek zdąży obrócić"
"bury your head in the sand";"schować głowę w piasek"
"go to any lenghts to";"stawać na głowie by coś zrobić"
"let your hair down";"wyluzować się"
"drop me a line";"daj mi znać"
"make headway";"robić postępy"
"give sb a free hand";"dać komuś wolną rękę"
"on the level";"być uczciwym"
"at the drop of a hat";"bez gadania/wachania; natychmiast"
"make a killing";"zbijać kasę"
"know off-hand";"z marszu (bez przygotowania)"
"make a hash of sth";"mess up"
"pull your leg";"nabierać kogoś"
"come to a head";"osiągnąć punkt krytyczny; zakończyć się starciem"
"down in the dumps";"zdołowany"
"turn over a new leaf";"wchodzić na nową drogę życia"
"make light of";"nie przejmować się czymś"
"have a drinking problem";"pić"
"show up for/ turn up for work/school";"przyjść do pracy / szkoły"
"in a flash";"w oka mgnieniu"
"get/ be evicted";"dostać nakaz eksmisji"
"vacate the premises due to non-payment";"eksmisja z powodu zaległości w płatności"
"to vacate";"opuścić (to leave)"
"(not to) raise/ lift a finger";"nie kiwnąć palcem"
"screw up one's courage / pluck up courage";"zebrać się na odwagę"
"feel/ be out of sorts/ game";"być nie w sosie"
"in the flesh";"na własne oczy"
"that's a switch";"a to coś nowego"
"be far/ way to...";"być stanowczo za..."
"pal";"koleś"
"be cut above sb";"być o niebo lepszym"
"pull punches/ to beat around/ about the bush";"owijać w bawełnę"
"get into one's stride";"wyrobić się"
"whining";"narzekać"
"backtalking/ to talk sb back";"pyskować"
